,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
0,1,1122643,1246,4868,1584,2,0,1241,1,0.0,10,2,1,4868,1241
1,2,1121035,1614,5804,1888,2,0,1609,7,0.0,14,4,8,10672,2850
2,3,1119130,1911,7042,2257,3,0,1906,8,0.0,20,7,16,17714,4756
3,4,1116891,2247,8482,2719,4,0,2241,9,0.0,26,11,25,26196,6997
4,5,1114064,2835,10198,3242,4,0,2827,7,0.0,33,15,32,36394,9824
5,6,1110782,3297,12359,3901,4,0,3289,8,0.0,39,19,40,48753,13113
6,7,1106830,3975,14853,4681,4,0,3961,8,0.0,46,23,48,63606,17074
7,8,1102197,4665,17878,5599,4,0,4644,16,0.0,60,27,64,81484,21718
8,9,1096763,5474,21426,6674,6,0,5442,11,0.0,61,33,75,102910,27160
9,10,1090398,6423,25553,7961,8,0,6385,11,0.0,64,41,86,128463,33545
10,11,1083011,7471,30311,9540,10,0,7415,25,0.0,85,51,111,158774,40960
11,12,1074774,8351,35765,11442,11,0,8270,33,0.0,115,62,144,194539,49230
12,13,1065498,9437,41679,13718,11,0,9329,38,0.0,148,73,182,236218,58559
13,14,1056538,9160,48140,16491,14,0,9003,30,0.0,169,87,212,284358,67562
14,15,1046804,9988,53818,19719,14,0,9798,59,0.0,219,101,271,338176,77360
15,16,1036574,10549,59744,23457,19,0,10309,45,0.0,248,120,316,397920,87669
16,17,1026020,10954,65313,28035,21,0,10656,56,0.0,289,141,372,463233,98325
17,18,1015211,11306,70622,33181,23,0,10928,62,0.0,334,164,434,533855,109253
18,19,1004371,11447,75540,38958,27,0,10978,98,0.0,406,191,532,609395,120231
19,20,993714,11408,79637,45551,33,0,10830,101,0.0,480,224,633,689032,131061
20,21,982793,11805,82811,52893,41,0,11086,109,0.0,552,265,742,771843,142147
21,22,972227,11625,85837,60600,54,0,10789,122,0.0,627,319,864,857680,152936
22,23,961473,11971,87784,69047,68,0,10970,130,0.0,706,387,994,945464,163906
23,24,950786,12085,89342,78048,82,0,10953,156,0.0,809,469,1150,1034806,174859
24,25,940299,12048,90636,87267,93,0,10742,186,0.0,925,562,1336,1125442,185601
25,26,929783,12215,91079,97157,109,0,10787,195,0.0,1053,671,1531,1216521,196388
26,27,919280,12385,91460,107092,126,0,10831,193,0.0,1168,797,1724,1307981,207219
27,28,909122,12196,91705,117164,156,0,10466,194,0.0,1276,953,1918,1399686,217685
28,29,898722,12575,91497,127374,175,0,10726,233,0.0,1389,1128,2151,1491183,228411
29,30,888431,12627,91404,137690,191,0,10643,211,0.0,1459,1319,2362,1582587,239054
30,31,878179,12731,91278,147926,229,0,10636,209,0.0,1513,1548,2571,1673865,249690
31,32,867981,12851,91043,158199,269,0,10582,235,0.0,1608,1817,2806,1764908,260272
32,33,858091,12700,90634,168605,313,0,10309,239,0.0,1679,2130,3045,1855542,270581
33,34,848109,12931,89970,178978,355,0,10401,237,0.0,1743,2485,3282,1945512,280982
34,35,838332,12899,89471,189256,385,0,10217,223,0.0,1784,2870,3505,2034983,291199
35,36,828703,12904,88960,199352,424,0,10087,244,0.0,1845,3294,3749,2123943,301286
36,37,819144,12965,88360,209398,476,0,10024,230,0.0,1853,3770,3979,2212303,311310
37,38,809911,12793,87573,219537,529,0,9735,244,0.0,1867,4299,4223,2299876,321045
38,39,800879,12732,86673,229475,584,0,9516,236,0.0,1898,4883,4459,2386549,330561
39,40,791874,12812,85483,239535,639,0,9499,229,0.0,1911,5522,4688,2472032,340060
40,41,783013,12791,84412,249441,686,0,9374,239,0.0,1931,6208,4927,2556444,349434
41,42,774320,12673,83309,259295,746,0,9184,216,0.0,1928,6954,5143,2639753,358618
42,43,765926,12436,82043,269146,792,0,8919,236,0.0,1920,7746,5379,2721796,367537
43,44,757763,12253,80667,278811,849,0,8654,219,0.0,1861,8595,5598,2802463,376191
44,45,749754,12138,79296,288252,903,0,8547,228,0.0,1879,9498,5826,2881759,384738
45,46,741920,12060,77720,297693,950,0,8350,213,0.0,1874,10448,6039,2959479,393088
46,47,734449,11768,76214,306910,1002,0,8013,198,0.0,1849,11450,6237,3035693,401101
47,48,727053,11698,74666,315857,1069,0,7918,223,0.0,1832,12519,6460,3110359,409019
48,49,719796,11612,72880,324941,1114,0,7801,220,0.0,1837,13633,6680,3183239,416820
49,50,712693,11533,71281,333676,1160,0,7666,195,0.0,1821,14793,6875,3254520,424486
50,51,705829,11315,69772,342204,1223,0,7400,200,0.0,1797,16016,7075,3324292,431886
51,52,699338,10946,67981,350815,1263,0,7017,218,0.0,1785,17279,7293,3392273,438903
52,53,692856,10920,66255,358986,1326,0,6984,204,0.0,1762,18605,7497,3458528,445887
53,54,686664,10635,64735,366946,1363,0,6712,192,0.0,1752,19968,7689,3523263,452599
54,55,680543,10479,63129,374793,1399,0,6619,190,0.0,1729,21367,7879,3586392,459218
55,56,674730,10120,61413,382625,1455,0,6295,194,0.0,1704,22822,8073,3647805,465513
56,57,669048,9869,59847,390085,1494,0,6133,184,0.0,1679,24316,8257,3707652,471646
57,58,663440,9782,58043,397539,1539,0,6102,177,0.0,1638,25855,8434,3765695,477748
58,59,658027,9586,56432,404709,1589,0,5888,182,0.0,1600,27444,8616,3822127,483636
59,60,652920,9177,55032,411587,1627,0,5555,179,0.0,1579,29071,8795,3877159,489191
60,61,647919,9000,53310,418445,1669,0,5429,140,0.0,1531,30740,8935,3930469,494620
61,62,643178,8659,51744,425049,1713,0,5171,157,0.0,1489,32453,9092,3982213,499791
62,63,638568,8484,50089,431440,1762,0,5051,166,0.0,1447,34215,9258,4032302,504842
63,64,633996,8349,48523,437665,1810,0,4984,154,0.0,1412,36025,9412,4080825,509826
64,65,629667,8033,47143,443653,1847,0,4767,169,0.0,1391,37872,9581,4127968,514593
65,66,625570,7728,45667,449502,1876,0,4494,159,0.0,1385,39748,9740,4173635,519087
66,67,621649,7489,43951,455335,1919,0,4299,145,0.0,1366,41667,9885,4217586,523386
67,68,617942,7235,42357,460852,1957,0,4127,122,0.0,1332,43624,10007,4259943,527513
68,69,614348,7083,40858,466060,1994,0,3989,127,0.0,1306,45618,10134,4300801,531502
69,70,610913,6813,39419,471170,2028,0,3813,141,0.0,1290,47646,10275,4340220,535315
70,71,607625,6604,37776,476259,2079,0,3654,146,0.0,1252,49725,10421,4377996,538969
71,72,604478,6377,36351,481015,2122,0,3482,135,0.0,1230,51847,10556,4414347,542451
72,73,601385,6279,34779,485743,2157,0,3470,120,0.0,1196,54004,10676,4449126,545921
73,74,598501,5965,33419,490274,2184,0,3180,126,0.0,1188,56188,10802,4482545,549101
74,75,595772,5728,32023,494592,2228,0,3043,107,0.0,1148,58416,10909,4514568,552144
75,76,593203,5464,30728,498691,2257,0,2863,113,0.0,1118,60673,11022,4545296,555007
76,77,590723,5250,29450,502634,2286,0,2729,103,0.0,1085,62959,11125,4574746,557736
77,78,588361,5049,28127,506489,2317,0,2655,103,0.0,1041,65276,11228,4602873,560391
78,79,586157,4743,26924,510173,2346,0,2446,93,0.0,1009,67622,11321,4629797,562837
79,80,583953,4603,25675,513748,2364,0,2421,89,0.0,970,69986,11410,4655472,565258
80,81,581831,4388,24615,517110,2399,0,2330,76,0.0,917,72385,11486,4680087,567588
81,82,579876,4136,23527,520377,2427,0,2180,78,0.0,880,74812,11564,4703614,569768
82,83,578075,3852,22400,523560,2456,0,1999,91,0.0,863,77268,11655,4726014,571767
83,84,576267,3762,21376,526458,2480,0,2006,80,0.0,837,79748,11735,4747390,573773
84,85,574623,3507,20430,529282,2501,0,1837,86,0.0,807,82249,11821,4767820,575610
85,86,573013,3418,19391,531999,2522,0,1813,66,0.0,774,84771,11887,4787211,577423
86,87,571541,3233,18521,534504,2544,0,1670,63,0.0,747,87315,11950,4805732,579093
87,88,570080,3183,17514,536995,2571,0,1638,69,0.0,718,89886,12019,4823246,580731
88,89,568696,3039,16750,539271,2587,0,1548,62,0.0,698,92473,12081,4839996,582279
89,90,567362,2902,15863,541612,2604,0,1474,49,0.0,676,95077,12130,4855859,583753
90,91,566207,2683,15083,543746,2624,0,1320,51,0.0,630,97701,12181,4870942,585073
91,92,565059,2610,14308,545726,2640,0,1292,48,0.0,602,100341,12229,4885250,586365
92,93,563928,2537,13607,547611,2660,0,1289,49,0.0,577,103001,12278,4898857,587654
93,94,562896,2365,12934,549475,2673,0,1148,43,0.0,556,105674,12321,4911791,588802
94,95,561950,2183,12264,551260,2686,0,1053,42,0.0,540,108360,12363,4924055,589855
95,96,561000,2118,11651,552875,2699,0,1072,35,0.0,518,111059,12398,4935706,590927
96,97,560117,1997,10987,554525,2717,0,1000,32,0.0,476,113776,12430,4946693,591927
97,98,559285,1902,10444,555975,2737,0,943,40,0.0,460,116513,12470,4957137,592870
98,99,558511,1807,9871,557404,2750,0,876,37,0.0,447,119263,12507,4967008,593746
99,100,557745,1769,9341,558727,2761,0,881,24,0.0,419,122024,12531,4976349,594627
100,101,557035,1664,8906,559974,2764,0,805,44,0.0,421,124788,12575,4985255,595432
101,102,556281,1669,8460,561154,2779,0,857,40,0.0,408,127567,12615,4993715,596289
